,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Cornelia M Ulrich,10,361,7,0.0,0.012,,,0.6541
Gunnar Jacobs,8,307,7,0.0,0.024,,,0.6201
Amy Holroyd,12,165,7,0.0,0.016,,,0.463
John Hopper,8,306,7,0.0,0.027,,,0.6193
Lisa Cannon-Albright,10,706,7,0.0,0.022,,,0.7856
Tim Becker,8,206,7,0.0,0.012,,,0.5222
John E Hokanson,9,476,7,0.0,0.008,,,0.712
Carlotta Sacerdote,9,891,7,0.0,0.029,,,0.8307
Sebastien Kury,9,612,7,0.0,0.016,,,0.7593
Xiangjun Xiao,10,756,7,0.0,0.038,,,0.7988
Michelle A T Hildebrandt,8,364,7,0.0,0.037,,,0.656
Jean-Francois Zagury,10,266,7,0.0,0.006,,,0.5837
Charles S Fuchs,10,759,7,0.0,0.017,,,0.7998
Matthias Simon,9,571,7,0.0,0.012,,,0.7474
Hong Zheng,7,309,7,0.0,0.014,,,0.6214
Sebastian Navarrete,7,1198,7,0.0,0.013,,,0.8753
Kouichi Ozaki,8,320,7,0.0,0.008,,,0.6283
Joellen M Schildkraut,9,399,7,0.0,0.041,,,0.6762
E J C G van den Oord,7,321,7,0.0,0.003,,,0.6288
Agnieszka Slowik,11,481,7,0.0,0.037,,,0.7152
Charles Lawrence,8,253,7,0.0,0.022,,,0.5723
Francois Pattou,7,1765,7,0.0,0.042,,,0.9217
D J Porteous,7,414,7,0.0,0.011,,,0.6844
Ivana Holcatova,11,731,7,0.0,0.03,,,0.7919
Pui-Yan Kwok,9,722,7,0.0,0.013,,,0.7905
Robert J Weyant,9,2182,7,0.0,0.032,,,0.9391
Nicholas Craddock,7,993,7,0.0,0.015,,,0.8488
Timo E Saaristo,7,2572,7,0.0,0.058,,,0.9501
Carmel Apicella,7,783,7,0.0,0.028,,,0.8086
Paolo Manunta,9,1694,7,0.0,0.054,,,0.9183
John D Potter,10,363,7,0.0,0.012,,,0.6553
Edouard Louis,7,3565,7,0.0,0.014,,,0.9663
J C Bis,8,896,7,0.0,0.018,,,0.8315
Rhoda Au,7,714,7,0.0,0.014,,,0.7879
Natalia Bogdanova,8,1336,7,0.0,0.035,,,0.8898
John Collinge,7,1548,7,0.0,0.033,,,0.9102
Judith B Borja,7,386,7,0.0,0.058,,,0.6688
Yifeng Zhou,7,376,7,0.0,0.01,,,0.6638
Ken Rice,9,422,7,0.0,0.032,,,0.688
John C van Swieten,8,487,7,0.0,0.028,,,0.7175
Natalia Antonenkova,8,546,7,0.0,0.031,,,0.7393
Jean-Francois Dartigues,8,1441,7,0.0,0.052,,,0.9018
Alireza Mirshahi,8,314,7,0.0,0.017,,,0.6247
Silvia de Sanjose,8,266,7,0.0,0.017,,,0.5837
Noha Lim,7,1942,7,0.0,0.024,,,0.9297
Belinda K Cornes,7,883,7,0.0,0.033,,,0.829
Ji Hee Oh,8,501,7,0.0,0.01,,,0.7218
Rosario Tumino,9,655,7,0.0,0.045,,,0.7707
Ross M Fraser,7,2758,7,0.0,0.063,,,0.9542
Leon F A G Massuger,8,620,7,0.0,0.033,,,0.7634
Gang Xie,8,1265,7,0.0,0.013,,,0.8816
Brian K Link,9,231,7,0.0,0.014,,,0.5507
Jin Li,25,229,7,0.0,0.033,,,0.5483
Gareth E Davies,9,276,7,0.0,0.032,,,0.5908
Ji-Yeob Choi,8,426,7,0.0,0.031,,,0.6896
Aribert Rothenberger,8,446,7,0.0,0.004,,,0.6976
Alexandra I F Blakemore,8,1926,7,0.0,0.042,,,0.9291
Sofia Khan,11,267,7,0.0,0.04,,,0.5845
Debra Frost,7,418,7,0.0,0.05,,,0.6863
Gary F Mitchell,7,899,7,0.0,0.023,,,0.8325
Rebecca F Gottesman,9,214,7,0.0,0.046,,,0.5305
Margaret A Tucker,8,733,7,0.0,0.028,,,0.7922
Denis C Shields,9,214,7,0.0,0.039,,,0.5305
Denis Franchimont,7,3585,7,0.0,0.015,,,0.9668
Jurg Ott,8,1386,7,0.0,0.005,,,0.8965
David E Goldgar,7,412,7,0.0,0.052,,,0.6832
Usha Menon,8,572,7,0.0,0.047,,,0.748
P McGuffin,7,490,7,0.0,0.009,,,0.7189
David Balding,7,485,7,0.0,0.006,,,0.7161
Wendy Thomson,7,874,7,0.0,0.017,,,0.8276
Morio Matsumoto,8,209,7,0.0,0.005,,,0.5254
David C M Liewald,8,487,7,0.0,0.064,,,0.7175
Marcin Imielinski,7,1294,7,0.0,0.015,,,0.885
Philippe Frossard,7,853,7,0.0,0.041,,,0.8232
Jing Ma,10,512,7,0.0,0.029,,,0.7261
Marco Montagna,7,418,7,0.0,0.05,,,0.6863
Ghislaine Scelo,13,318,7,0.0,0.027,,,0.6272
David Conti,8,261,7,0.0,0.02,,,0.5792
Sarah Hunt,7,885,7,0.0,0.019,,,0.8295
Galina Lurie,8,601,7,0.0,0.017,,,0.7561
David E Elder,7,557,7,0.0,0.009,,,0.7427
Piet L C M van Riel,7,1166,7,0.0,0.014,,,0.8719
Maria D Garcia-Prats,7,835,7,0.0,0.02,,,0.8194
Chao A Hsiung,8,221,7,0.0,0.038,,,0.5383
Alexandre Montpetit,7,2332,7,0.0,0.014,,,0.9437
Jichun Chen,7,184,7,0.0,0.005,,,0.4925
Anne E Kiltie,7,784,7,0.0,0.015,,,0.809
Ian P Tomlinson,8,486,7,0.0,0.01,,,0.7167
Li Jin,13,382,7,0.0,0.021,,,0.6669
George R Uhl,7,389,7,0.0,0.001,,,0.6706
Geoffrey Liu,12,739,7,0.0,0.023,,,0.7939
David O Arnar,9,881,7,0.0,0.031,,,0.8287
Tuan V Nguyen,8,863,7,0.0,0.017,,,0.8252
Alexessander Couto Alves,8,305,7,0.0,0.052,,,0.6158
David Porteous,8,257,7,0.0,0.048,,,0.5765
Li Jia Chen,7,234,7,0.0,0.02,,,0.5543
Ian N M Day,7,3183,7,0.0,0.062,,,0.9612
David St Clair,7,1281,7,0.0,0.017,,,0.8832
Barry S Rosenstein,8,166,7,0.0,0.011,,,0.4646
Margot Haun,7,382,7,0.0,0.056,,,0.6669
Sara Benlloch,9,547,7,0.0,0.022,,,0.7396
Jie Lin,8,337,7,0.0,0.015,,,0.6417
Deborah J Hart,8,313,7,0.0,0.01,,,0.624
David M Nathan,7,1828,7,0.0,0.045,,,0.925
Brian Fleck,8,308,7,0.0,0.016,,,0.6207
Jian Li,10,436,7,0.0,0.009,,,0.6939
Ulrich Broeckel,10,308,7,0.0,0.041,,,0.6207
Hyun Sub Cheong,11,367,7,0.0,0.006,,,0.6587
Geraldine Cancel-Tassin,12,1215,7,0.0,0.029,,,0.8771
Nicola Glorioso,9,1157,7,0.0,0.063,,,0.8708
Lesley McGuffog,7,418,7,0.0,0.05,,,0.6863
Brenda Penninx,12,824,7,0.0,0.051,,,0.8176
Gerald S Berenson,8,429,7,0.0,0.02,,,0.691
Anna Latiano,8,2890,7,0.0,0.018,,,0.9563
Penny Soucy,7,412,7,0.0,0.052,,,0.6832
Gerald Andriole,7,616,7,0.0,0.021,,,0.7622
Arja Jukkola-Vuorinen,7,978,7,0.0,0.044,,,0.8467
Andrea Ganna,7,1049,7,0.0,0.045,,,0.8579
Min-Ho Shin,9,308,7,0.0,0.022,,,0.6207
Marcella Devoto,11,759,7,0.0,0.006,,,0.7998
Michel Burnier,8,1221,7,0.0,0.058,,,0.8777
Beate Glaser,7,407,7,0.0,0.014,,,0.6804
Michael R Barnes,8,777,7,0.0,0.042,,,0.8073
Julie A Schneider,7,905,7,0.0,0.026,,,0.8335
Nina Hutri-Kahonen,8,120,7,0.0,0.049,,,0.3916
Tomas Drgon,7,389,7,0.0,0.001,,,0.6706
Jennifer Jolley,7,1515,7,0.0,0.05,,,0.9079
Alan Ashworth,8,1007,7,0.0,0.031,,,0.8511
Valentina Moskvina,7,2221,7,0.0,0.019,,,0.9404
Kerstin U Ludwig,8,505,7,0.0,0.006,,,0.7235
Tomas Paus,11,541,7,0.0,0.037,,,0.7372
Sylvie Mazoyer,7,418,7,0.0,0.05,,,0.6863
Saud Alhusaini,7,653,7,0.0,0.029,,,0.7701
Caroline Fox,7,1163,7,0.0,0.051,,,0.8715
Mariana C Stern,10,781,7,0.0,0.034,,,0.8082
Mao Fu,8,1650,7,0.0,0.046,,,0.9164
Jennifer Prescott,9,175,7,0.0,0.021,,,0.4794
Tomomitsu Hirota,10,389,7,0.0,0.013,,,0.6706
Tomas Axelsson,12,434,7,0.0,0.054,,,0.693
Munir Pirmohamed,11,471,7,0.0,0.008,,,0.7091
Svati H Shah,14,1148,7,0.0,0.03,,,0.8697
Julie A Johnson,14,304,7,0.0,0.023,,,0.6125
Daniel C Tessier,7,1137,7,0.0,0.054,,,0.8686
Kar Seng Sim,7,263,7,0.0,0.015,,,0.5809
Bobby P C Koeleman,12,296,7,0.0,0.014,,,0.6068
Jennifer E Below,10,485,7,0.0,0.029,,,0.7161
Manuel A Ferreira,10,779,7,0.0,0.042,,,0.8079
Donald J Zack,7,823,7,0.0,0.016,,,0.8174
Jodie N Painter,10,363,7,0.0,0.029,,,0.6553
Daniel J Benjamin,8,570,7,0.0,0.032,,,0.7471
Dominique Stoppa-Lyonnet,7,418,7,0.0,0.05,,,0.6863
Nomdo M Jansonius,7,270,7,0.0,0.011,,,0.586
Ya Xing Wang,11,144,7,0.0,0.039,,,0.4315
Yuki Bradford,8,297,7,0.0,0.018,,,0.6076
Manuel R Teixeira,10,480,7,0.0,0.063,,,0.7146
Daniel L Kastner,7,1272,7,0.0,0.008,,,0.8821
Giuseppe Albai,7,2010,7,0.0,0.013,,,0.9329
Nan Hu,8,368,7,0.0,0.017,,,0.6595
Daniel W Cramer,7,659,7,0.0,0.032,,,0.7717
Jenny A Visser,7,559,7,0.0,0.029,,,0.7431
Tongzhang Zheng,8,269,7,0.0,0.015,,,0.5856
Sander W van der Laan,9,1279,7,0.0,0.079,,,0.883
Torsten Witte,8,503,7,0.0,0.011,,,0.7226
Caroline Seynaeve,7,961,7,0.0,0.046,,,0.8432
Simon Lovestone,7,1818,7,0.0,0.049,,,0.9242
Darina Czamara,7,696,7,0.0,0.036,,,0.7827
Annegien Broeks,7,1109,7,0.0,0.038,,,0.8654
P A F Madden,8,306,7,0.0,0.009,,,0.6193
Sandra D'Alfonso,10,540,7,0.0,0.029,,,0.7369
Daru Lu,8,349,7,0.0,0.015,,,0.6472
Daryl Waggott,9,386,7,0.0,0.021,,,0.6688
A Palotie,8,292,7,0.0,0.017,,,0.6043
Rita M Cantor,8,1476,7,0.001,0.027,,,0.9053
David A Hafler,8,1857,7,0.0,0.017,,,0.9269
Ping An,10,1390,7,0.001,0.052,,,0.8971
Marcel den Hoed,7,264,7,0.0,0.067,,,0.5818
Jo Knight,9,809,7,0.0,0.012,,,0.8151
Marc Maynadie,8,266,7,0.0,0.017,,,0.5837
Artitaya Lophatananon,8,1566,7,0.0,0.044,,,0.9113
Digna R Velez Edwards,12,260,7,0.0,0.027,,,0.5784
Toni I Pollin,9,590,7,0.0,0.004,,,0.7533
Sulev Koks,7,410,7,0.001,0.008,,,0.6824
Wen-Jane Lee,9,197,7,0.0,0.049,,,0.5091
Dimitri S Monos,7,657,7,0.0,0.01,,,0.771
Yue Jiang,7,307,7,0.0,0.006,,,0.6201
Yolanda Benavente,8,266,7,0.0,0.017,,,0.5837
Sathanur R Srinivasan,8,429,7,0.0,0.02,,,0.691
Lies Lahousse,9,191,7,0.0,0.027,,,0.5019
Kevin Jacobs,7,772,7,0.0,0.024,,,0.8056
Robert D Brown,8,197,7,0.0,0.02,,,0.5091
Joachim Thiery,12,586,7,0.0,0.027,,,0.7518
Andreas Gschwendtner,7,667,7,0.0,0.015,,,0.7744
Maria Teresa Martinez-Larrad,7,1523,7,0.0,0.048,,,0.9086
Michel Georges,7,3565,7,0.0,0.014,,,0.9663
Shu-Feng Lei,9,212,7,0.0,0.003,,,0.5286
Juyoung Lee,10,163,7,0.0,0.03,,,0.4603
Angeles Panadero,7,334,7,0.0,0.012,,,0.6395
Laiyuan Wang,8,432,7,0.0,0.018,,,0.692
Angela Simpson,8,334,7,0.0,0.027,,,0.6395
Tao Li,9,386,7,0.0,0.008,,,0.6688
Amanda Black,10,331,7,0.0,0.042,,,0.6372
N Craddock,9,227,7,0.001,0.014,,,0.5457
Haiying Zhang,12,131,7,0.0,0.006,,,0.4119
Claire M Vajdic,8,269,7,0.0,0.015,,,0.5856
Helga B Salvesen,8,335,7,0.0,0.036,,,0.6402
Shamika Ketkar,7,2600,7,0.0,0.057,,,0.9504
Wim Timens,9,101,7,0.0,0.025,,,0.357
Stephen L Guthery,7,1991,7,0.0,0.018,,,0.9316
Claire L Simpson,9,283,7,0.0,0.019,,,0.5964
Robin Lemmens,8,551,7,0.0,0.024,,,0.7408
Elizabeth W Karlson,8,1289,7,0.0,0.013,,,0.8842
Elisabeth Mangold,9,399,7,0.0,0.014,,,0.6762
Wei Zhang,7,356,7,0.001,0.015,,,0.651
Peggy Wan,9,444,7,0.0,0.021,,,0.6972
May E Montasser,7,1045,7,0.0,0.06,,,0.8573
Amanda E Toland,7,863,7,0.0,0.053,,,0.8252
Hidenori Ochi,8,382,7,0.0,0.003,,,0.6669
Maya Ghoussaini,7,1370,7,0.0,0.046,,,0.8936
Cameron Palmer,7,1129,7,0.0,0.042,,,0.8673
Hamdi Mbarek,14,200,7,0.0,0.052,,,0.5132
Hidemi Ito,11,968,7,0.0,0.037,,,0.8448
Jan H Smit,8,2465,7,0.0,0.053,,,0.9472
Josephine Hoh,8,1868,7,0.0,0.007,,,0.9272
Stephanie M Gogarten,16,227,7,0.0,0.027,,,0.5457
Pasi Soininen,8,1154,7,0.0,0.032,,,0.8703
Chizu Tanikawa,9,119,7,0.0,0.01,,,0.3898
Loren L Armstrong,7,301,7,0.0,0.016,,,0.6108
John S K Kauwe,7,2081,7,0.0,0.022,,,0.9352
Yun Kyoung Kim,9,535,7,0.0,0.042,,,0.7348
Martyn T Smith,7,321,7,0.0,0.013,,,0.6288
Kyota Ashikawa,10,216,7,0.0,0.015,,,0.5324
John Powell,8,1970,7,0.0,0.043,,,0.9309
Anne M van Altena,8,620,7,0.0,0.033,,,0.7634
Wanting Zhao,11,161,7,0.0,0.03,,,0.4582
William E R Ollier,8,524,7,0.0,0.028,,,0.7303
Robert P Kimberly,8,834,7,0.0,0.012,,,0.8193
Anthony Staines,7,264,7,0.0,0.015,,,0.5818
Eric O Johnson,9,623,7,0.0,0.015,,,0.764
Christie M Ballantyne,9,1646,7,0.0,0.045,,,0.9161
Joshua M Shulman,8,386,7,0.0,0.019,,,0.6688
Shirley Hodgson,9,220,7,0.0,0.051,,,0.5368
Shaun M Purcell,8,1903,7,0.001,0.019,,,0.928
Eric K Moses,10,381,7,0.0,0.018,,,0.6662
Jacqueline R Center,8,863,7,0.0,0.017,,,0.8252
Paul L Auer,11,178,7,0.0,0.057,,,0.4836
Jana V van Vliet-Ostaptchouk,8,1361,7,0.0,0.064,,,0.8927
Natasja M van Schoor,9,912,7,0.0,0.06,,,0.8342
Teresa Tusie-Luna,8,207,7,0.0,0.014,,,0.5236
Jana Strohmaier,8,356,7,0.0,0.025,,,0.651
John R Shaffer,16,141,7,0.0,0.01,,,0.4273
Anna A E Vinkhuyzen,7,1370,7,0.0,0.054,,,0.8936
Robin Haring,7,363,7,0.0,0.037,,,0.6553
Xiaoling Lin,8,220,7,0.0,0.008,,,0.5368
Michael J Econs,9,1044,7,0.0,0.04,,,0.8569
Thomas Munzel,7,750,7,0.0,0.028,,,0.7977
Fang Chen,8,280,7,0.0,0.025,,,0.5942
Zoran Vatavuk,7,302,7,0.0,0.017,,,0.6114
Hanne F Harbo,9,1101,7,0.0,0.017,,,0.864
Christopher W Kuzawa,7,1574,7,0.0,0.043,,,0.9118
Jackie F Price,7,2720,7,0.0,0.058,,,0.9536
Yingfeng Zheng,9,271,7,0.0,0.017,,,0.5865
Aleksandra Gentry-Maharaj,7,659,7,0.0,0.032,,,0.7717
Herbert Yu,11,598,7,0.0,0.021,,,0.7553
Jonathan D Glass,9,875,7,0.0,0.023,,,0.8278
Christopher R Gignoux,8,356,7,0.0,0.008,,,0.651
Albert M Levin,9,427,7,0.0,0.037,,,0.6901
Christopher Oldmeadow,11,508,7,0.0,0.056,,,0.7246
Wei Wang,9,1121,7,0.0,0.016,,,0.8666
Hanxia Huang,7,626,7,0.0,0.004,,,0.7654
Rachel Hackett,7,2499,7,0.0,0.016,,,0.9481
Herbert Roeyers,8,446,7,0.0,0.004,,,0.6976
Amanda J Myers,7,1101,7,0.0,0.026,,,0.864
Alejandro Arias-Vasquez,8,326,7,0.0,0.03,,,0.6329
R A Ophoff,8,293,7,0.0,0.01,,,0.6051
Emily Webb,7,1640,7,0.0,0.009,,,0.9159
Hans G Lemij,7,256,7,0.0,0.01,,,0.5758
Richard P Lifton,9,1334,7,0.001,0.042,,,0.8894
Zdenka Pausova,10,535,7,0.0,0.036,,,0.7348
Paul J Leo,10,607,7,0.0,0.023,,,0.758
M Eileen Dolan,8,146,7,0.0,0.004,,,0.4349
Nick J Wareham,12,1062,7,0.0,0.064,,,0.8595
Emma L Duncan,11,725,7,0.0,0.023,,,0.791
Joseph M Zmuda,8,266,7,0.0,0.039,,,0.5837
Adriano Chio,11,289,7,0.0,0.016,,,0.6017
Lori B Chibnik,8,255,7,0.0,0.013,,,0.5744
N R Wray,8,424,7,0.0,0.013,,,0.6888
Allan F McRae,9,256,7,0.0,0.006,,,0.5758
Chuong B Do,7,843,7,0.0,0.005,,,0.8209
Paavo Zitting,7,3120,7,0.0,0.057,,,0.9597
Stefanie Heilmann,8,116,7,0.0,0.01,,,0.3853
Hanieh Yaghootkar,10,544,7,0.0,0.041,,,0.7384
Jacqueline B Hetmanski,7,497,7,0.0,0.008,,,0.7206
Walter A Kukull,8,843,7,0.0,0.026,,,0.8209
Joseph Sergeant,8,446,7,0.0,0.004,,,0.6976
Jan A Kors,11,660,7,0.0,0.04,,,0.7721
Stefan Kloiber,8,398,7,0.0,0.04,,,0.6755
Evadnie Rampersaud,8,546,7,0.0,0.024,,,0.7393
Anthony Batzler,12,228,7,0.0,0.006,,,0.5471
Ayo Doumatey,8,1278,7,0.0,0.033,,,0.8827
Christine Schwienbacher,7,297,7,0.0,0.019,,,0.6076
Andrew R Ness,7,2641,7,0.0,0.025,,,0.9516
Robert W Haile,10,368,7,0.0,0.02,,,0.6595
Kulli Kingo,7,410,7,0.001,0.008,,,0.6824
M C O'Donovan,10,968,7,0.001,0.02,,,0.8448
Jacob L McCauley,7,1829,7,0.0,0.021,,,0.9252
Katsunori Ikari,8,648,7,0.0,0.009,,,0.769
Taru A Muranen,7,893,7,0.0,0.043,,,0.8311
Nathalie van der Velde,8,606,7,0.0,0.058,,,0.7575
Quince Gibson,10,1476,7,0.0,0.032,,,0.9053
Allison Ashley-Koch,7,298,7,0.0,0.011,,,0.6088
Hisashi Yamanaka,7,648,7,0.0,0.009,,,0.769
Mary Anne Rossing,7,659,7,0.0,0.032,,,0.7717
Thomas Gasser,7,1450,7,0.0,0.008,,,0.9031
Mary B Daly,7,390,7,0.0,0.051,,,0.6712
Lydia Quaye,8,582,7,0.0,0.043,,,0.751
Annette M Hartmann,11,719,7,0.0,0.042,,,0.7898
Ying Wang,10,940,7,0.001,0.018,,,0.8391
Christian C Abnet,8,368,7,0.0,0.017,,,0.6595
Pavel Vodicka,10,515,7,0.0,0.02,,,0.7271
Vinod Kumar,9,433,7,0.0,0.013,,,0.6924
Robert Wojciechowski,10,240,7,0.0,0.018,,,0.5593
Eli A Stahl,8,1555,7,0.002,0.022,,,0.9106
Peter Shrader,7,2231,7,0.0,0.043,,,0.9406
Joyce B van Meurs,8,896,7,0.0,0.019,,,0.8315
Josine L Min,7,1623,7,0.0,0.052,,,0.9152
B A Oostra,8,284,7,0.001,0.016,,,0.5971
Sholom Wacholder,8,2205,7,0.0,0.01,,,0.9399
Teruhiko Yoshida,8,542,7,0.0,0.008,,,0.7376
Nicholas Hastie,7,311,7,0.0,0.046,,,0.6228
Anne M Griffiths,7,2990,7,0.0,0.015,,,0.9582
Andrew Lee,7,823,7,0.0,0.058,,,0.8174
James C Lee,7,2001,7,0.0,0.015,,,0.9323
Rafn Ragnarsson,7,686,7,0.0,0.01,,,0.7788
Qifei Deng,8,276,7,0.0,0.011,,,0.5908
Erin L Heinzen,7,1440,7,0.0,0.005,,,0.9016
Annette Lee,8,693,7,0.0,0.008,,,0.7812
Bernardino Ghetti,8,957,7,0.0,0.03,,,0.8427
Kyle J Gaulton,7,450,7,0.0,0.04,,,0.6996
Stephan Menzel,7,488,7,0.0,0.012,,,0.7181
Melanie C Matheson,9,366,7,0.0,0.024,,,0.6576
Roberta B Ness,7,659,7,0.0,0.032,,,0.7717
Wing Yee So,9,1263,7,0.0,0.033,,,0.8815
Monica Guxens,8,338,7,0.0,0.021,,,0.6422
Heather E Wheeler,9,173,7,0.0,0.014,,,0.4763
Luis Carvajal-Carmona,8,1346,7,0.0,0.013,,,0.891
Erin N Smith,10,321,7,0.002,0.029,,,0.6288
Richard L Prince,10,616,7,0.0,0.028,,,0.7622
Clemens Schafmayer,9,884,7,0.0,0.019,,,0.8293
Katja Butterbach,9,395,7,0.0,0.054,,,0.6738
Anne Tybjaerg-Hansen,8,898,7,0.0,0.028,,,0.8323
Katie L McMahon,8,576,7,0.0,0.027,,,0.7494
Angela Doering,7,1104,7,0.0,0.031,,,0.8644
Amalio Telenti,7,1581,7,0.0,0.007,,,0.9122
Jaime Derringer,7,569,7,0.0,0.029,,,0.7468
Carlos A Aguilar-Salinas,8,317,7,0.0,0.013,,,0.6266
Wayne H-H Sheu,8,748,7,0.0,0.039,,,0.7973
Melissa Southey,9,1370,7,0.0,0.052,,,0.8936
Lisette C P G M de Groot,8,606,7,0.0,0.058,,,0.7575
Mark S Goldberg,7,878,7,0.0,0.053,,,0.8284
Beverley Shields,7,3942,7,0.0,0.04,,,0.9704
Mika Ala-Korpela,8,1154,7,0.0,0.032,,,0.8703
John K Wiencke,9,564,7,0.0,0.023,,,0.7452
Beverley M Shields,7,1155,7,0.0,0.051,,,0.8705
Peter T Campbell,11,301,7,0.0,0.012,,,0.6108
Qing Duan,17,234,7,0.0,0.055,,,0.5543
Adnan Custovic,8,334,7,0.0,0.027,,,0.6395
Stephan Buch,9,866,7,0.0,0.013,,,0.826
Karlhans Endlich,7,529,7,0.0,0.025,,,0.733
Yi Lu,14,236,7,0.0,0.031,,,0.5561
Ludmila Prokunina-Olsson,7,1581,7,0.0,0.014,,,0.9122
Neal D Freedman,9,315,7,0.0,0.021,,,0.6254
J J Hottenga,7,451,7,0.0,0.009,,,0.7007
J Michael Gaziano,9,695,7,0.0,0.023,,,0.7822
Clyde Francks,7,955,7,0.0,0.041,,,0.8424
Stefan E Matthiasson,7,1187,7,0.0,0.017,,,0.8744
S E Medland,10,395,7,0.0,0.013,,,0.6738
Peter Henneman,7,1434,7,0.0,0.053,,,0.9012
Kyong Soo Park,9,969,7,0.0,0.026,,,0.845
Pamela J Thompson,8,545,7,0.0,0.034,,,0.7388
Yiqin Wang,9,232,7,0.0,0.025,,,0.5518
Ethan M Lange,13,486,7,0.0,0.013,,,0.7167
Roger C W Wolfs,7,256,7,0.0,0.01,,,0.5758
Tanda Murray,7,413,7,0.0,0.009,,,0.6838
Vincent Meininger,9,324,7,0.0,0.012,,,0.6309
Luting Xue,8,309,7,0.0,0.053,,,0.6214
Annette L Fitzpatrick,8,1213,7,0.0,0.043,,,0.8766
Heather Spencer Feigelson,7,2304,7,0.0,0.019,,,0.9434
Eitaro Nakashima,7,931,7,0.0,0.034,,,0.8364
Yawei Zhang,8,269,7,0.0,0.015,,,0.5856
Marketa Sjogren,8,2961,7,0.0,0.037,,,0.9579
Barry J Make,9,532,6,0.0,0.005,,,0.7338
Shelley A Cole,9,227,6,0.0,0.004,,,0.5457
Cathryn Edwards,6,2602,6,0.0,0.017,,,0.9505
K Raikkonen,7,228,6,0.0,0.014,,,0.5471
Sarah Metrustry,8,226,6,0.0,0.014,,,0.545
Min Shen,6,719,6,0.0,0.014,,,0.7898
Gabriel Cuellar-Partida,8,307,6,0.0,0.035,,,0.6201
Megan J Campbell,7,359,6,0.0,0.005,,,0.6527
Andre M van Rij,7,1821,6,0.0,0.028,,,0.9245
G Willemsen,7,447,6,0.0,0.013,,,0.698
Gabi Kastenmuller,6,751,6,0.0,0.004,,,0.798
Cathy E Elks,6,452,6,0.0,0.038,,,0.7012
Georg Ehret,10,357,6,0.0,0.046,,,0.6517
Nigel J Cairns,7,845,6,0.0,0.033,,,0.8215
Megan E Rudock,6,1123,6,0.0,0.051,,,0.8669
Jack M Guralnik,6,986,6,0.0,0.02,,,0.8479
Ian Jones,7,497,6,0.0,0.01,,,0.7206
Emma Sprooten,6,474,6,0.0,0.026,,,0.7109
F George Otieno,6,412,6,0.0,0.004,,,0.6832
Evelyn Despierre,7,486,6,0.0,0.016,,,0.7167
Arto Leminen,7,526,6,0.0,0.031,,,0.7311
Diederick E Grobbee,6,1360,6,0.0,0.042,,,0.8925
Xin Zhou,6,189,6,0.0,0.011,,,0.4987
Nicola J Camp,8,236,6,0.0,0.014,,,0.5561
Caroline M Nievergelt,11,151,6,0.001,0.023,,,0.4416
Yongchen Hao,6,172,6,0.0,0.009,,,0.4747
Ravi Duggirala,6,485,6,0.0,0.028,,,0.7161
Ingo Marenholz,8,162,6,0.0,0.021,,,0.4593
Emmanuel Mignot,6,273,6,0.0,0.007,,,0.5883
Lu-Chen Weng,11,212,6,0.0,0.027,,,0.5286
Wenjin Li,7,279,6,0.0,0.01,,,0.5932
Diana Rubin,6,965,6,0.0,0.014,,,0.8442
Marc Schuckit,6,136,6,0.0,0.003,,,0.4198
Emmanuelle Bouzigon,7,562,6,0.0,0.016,,,0.7446
Sven Glaser,6,473,6,0.0,0.032,,,0.7101
M Daniele Fallin,8,397,6,0.0,0.007,,,0.6748
Neil M Walker,6,1496,6,0.0,0.002,,,0.9064
Michel D Ferrari,6,382,6,0.0,0.01,,,0.6669
William R Scott,11,877,6,0.0,0.076,,,0.8282
Margaux F Keller,7,495,6,0.0,0.028,,,0.7201
Luc Djousse,6,185,6,0.0,0.006,,,0.4938
Arn M J M van den Maagdenberg,7,382,6,0.0,0.01,,,0.6669
Sara L Pulit,10,620,6,0.0,0.046,,,0.7634
Thomas Bruning,8,863,6,0.0,0.053,,,0.8252
Gabriele Muller,6,1445,6,0.0,0.061,,,0.9024
Susana Puig,6,471,6,0.0,0.008,,,0.7091
Kimberly E Taylor,6,1099,6,0.0,0.005,,,0.8638
Brian M Wolpin,7,576,6,0.0,0.013,,,0.7494
Lyudmyla Kedenko,6,644,6,0.0,0.06,,,0.7684
Kathryn L Terry,6,508,6,0.0,0.032,,,0.7246
Shigeki Momohara,6,616,6,0.0,0.008,,,0.7622
William Tapper,9,564,6,0.0,0.022,,,0.7452
M A Ikram,6,893,6,0.0,0.016,,,0.8311
James J Goedert,6,193,6,0.0,0.005,,,0.5044
Margaret Kelly-Hayes,6,487,6,0.0,0.01,,,0.7175
Margaret Pericak-Vance,6,447,6,0.0,0.008,,,0.698
A V Smith,7,898,6,0.0,0.019,,,0.8323
Denise Harold,7,1924,6,0.0,0.029,,,0.929
Robert B Jenkins,7,432,6,0.0,0.013,,,0.692
Neil Poulter,9,232,6,0.0,0.048,,,0.5518
Almut Nebel,6,212,6,0.0,0.008,,,0.5286
Catherine Helmer,6,242,6,0.0,0.022,,,0.5611
Anne-Marie Gerdes,6,377,6,0.0,0.049,,,0.6644
Cathie Sudlow,6,333,6,0.0,0.011,,,0.6385
Deborah J Thompson,9,283,6,0.0,0.03,,,0.5964
