,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Inke R Konig,25,6358,22,0.0,0.088,,,0.9849
Jian Yang,27,5300,22,0.001,0.122,,,0.9807
Jeffrey C Barrett,22,7823,22,0.0,0.03,U.K,Sanger Institute,0.9897
Jose C Florez,32,5725,22,0.0,0.091,,,0.9824
Gianluca Severi,29,3284,22,0.001,0.094,,,0.9624
Antti Jula,34,5338,22,0.0,0.12,,,0.9808
Keitaro Matsuo,35,2090,22,0.002,0.082,,,0.9357
Marika Kaakinen,25,4480,22,0.0,0.104,,,0.9755
Peter Lichtner,28,3849,22,0.002,0.121,,,0.9698
Tin Aung,49,2269,22,0.002,0.1,,,0.9418
Douglas P Kiel,39,2342,22,0.0,0.072,,,0.9441
Paul Brennan,39,3511,22,0.001,0.086,,,0.9656
W Ryan Diver,27,2072,22,0.0,0.069,,,0.9349
David A Bennett,35,2207,22,0.001,0.114,,,0.94
Jonathan P Bradfield,31,2737,22,0.001,0.066,,,0.9539
Unnur Styrkarsdottir,34,2693,22,0.0,0.051,,,0.953
E Shyong Tai,38,3334,22,0.001,0.102,,,0.9632
Leo-Pekka Lyytikainen,48,2948,22,0.001,0.155,,,0.9576
Yii-Der Ida Chen,37,4730,22,0.001,0.129,,,0.9771
Mika Kivimaki,27,4910,21,0.0,0.124,,,0.9785
Arne Pfeufer,24,2606,21,0.0,0.058,,,0.9507
Xueling Sim,40,3979,21,0.001,0.118,,,0.9708
Naoya Hosono,25,1457,21,0.0,0.011,,,0.9037
Asgeir Sigurdsson,27,3426,21,0.0,0.04,,,0.9646
Georg B Ehret,23,5035,21,0.0,0.089,,,0.9791
Mariza de Andrade,32,2437,21,0.001,0.08,,,0.9467
Dena G Hernandez,32,2794,21,0.002,0.099,,,0.9549
Angelo Scuteri,21,6829,21,0.0,0.071,,,0.9867
Craig E Pennell,41,1576,21,0.0,0.084,,,0.912
Esther M John,32,2160,21,0.001,0.092,,,0.9385
Peter S Chines,24,7564,21,0.0,0.109,,,0.9891
Teresa Ferreira,22,6610,21,0.0,0.116,,,0.9859
Christopher J Groves,24,9405,21,0.0,0.099,,,0.9928
Tatiana Foroud,34,2539,21,0.006,0.054,,,0.9492
Martina Muller-Nurasyid,41,4130,21,0.001,0.151,,,0.9726
Thomas H Mosley,39,2366,21,0.001,0.131,,,0.9452
G Mark Lathrop,22,5711,21,0.001,0.085,,,0.9823
David Karasik,32,2278,21,0.0,0.065,,,0.9423
Mattias Lorentzon,33,4168,21,0.0,0.1,,,0.9729
Alison M Dunning,36,3204,21,0.001,0.093,,,0.9615
Tune H Pers,25,2345,21,0.001,0.115,,,0.9442
Debbie A Lawlor,26,6208,21,0.0,0.097,,,0.9847
Paul Mitchell,41,1676,21,0.001,0.082,,,0.9175
Fumihiko Matsuda,43,2290,21,0.002,0.043,,,0.9428
Jose I Mayordomo,26,3638,21,0.0,0.034,,,0.9675
Eva Albrecht,29,4244,21,0.0,0.11,,,0.9734
Paolo Vineis,26,3335,21,0.001,0.08,,,0.9632
Nita G Forouhi,25,5269,21,0.0,0.116,,,0.9805
Robert N Hoover,28,3137,21,0.0,0.072,,,0.9601
Reinhold Schmidt,35,2178,21,0.001,0.13,,,0.939
John Danesh,29,4699,21,0.001,0.123,,,0.9769
James S Pankow,35,4071,21,0.0,0.099,,,0.9718
